عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,soug_id
0,1,791,10860000,0,10860000,0,1551,نوراي,8/5/2025,28
0,1,140.8,3276000,0,3276000,0,468,الهرابة,8/5/2025,50
0,0,0,2156000,0,2156000,0,308,أوكليس,8/5/2025,45
0,0,0,1400000,0,1400000,0,200,الهدى,8/5/2025,49
0,0,0,896000,0,896000,0,128,أبو محمود,8/5/2025,42
0,6,1221.8,2163000,0,2163000,0,309,شمال هيا,8/5/2025,52
0,0,0,700000,0,0,0,100,تحصيل مكتبي,8/5/2025,54
0,0,0,56056000,0,56056000,0,8008,أوجرين,9/5/2025,43
0,1,5538.8,61705000,0,61705000,0,8815,المطار,9/5/2025,48
0,18,1951.1,9009000,0,9009000,0,1287,قبايديب,9/5/2025,31
0,5,3870.3,11438,0,11438,0,1634,وادي العشار,9/5/2025,8
0,2,1143.8,18921000,0,18921000,0,2703,الأنصاري,9/5/2025,46
0,0,0,7336000,0,7336000,0,1048,الفرقة,9/5/2025,47
0,1,622.5,63000,0,63000,0,9,أوقييت,9/5/2025,44
0,2,139,742000,0,742000,0,106,الياسمين,9/5/2025,29
0,2,3316.9,9220000,0,9220000,0,1317.14,نوراي,9/5/2025,28
0,0,0,3192000,0,3192000,0,456,الهرابة,9/5/2025,50
0,2,1164.1,2338000,0,2338000,0,334,أوكليس,9/5/2025,45
0,0,0,1575000,0,1575000,0,225,الهدى,9/5/2025,49
0,0,0,1001000,0,1001000,0,143,أبو محمود,9/5/2025,42
0,2,837,2093000,0,2093000,0,299,شمال هيا,9/5/2025,52
0,0,0,56574000,0,56574000,0,8082,أوجرين,10/5/2025,43
0,0,0,49973000,0,49973000,0,7139,المطار,10/5/2025,48
0,18,4177.5,10052000,0,10052000,0,1436,قبايديب,10/5/2025,31
0,0,0,10703000,0,10703000,0,1529,وادي العشار,10/5/2025,8
0,0,0,24038000,0,24038000,0,3434,الأنصاري,10/5/2025,46
0,10,1190,8197000,0,8197000,0,1171,الفرقة,10/5/2025,47
0,1,308,0,0,0,0,0,أوقييت,10/5/2025,44
0,6,1787.1,826000,0,826000,0,118,الياسمين,10/5/2025,29
0,3,3321.3,9640000,0,9640000,0,1377.14,نوراي,10/5/2025,28
0,1,220,2268000,0,2268000,0,324,الهرابة,10/5/2025,50
0,2,201.1,3808000,0,3808000,0,544,أوكليس,10/5/2025,45
0,0,0,1750000,0,1750000,0,250,الهدى,10/5/2025,49
0,0,0,1029000,0,1029000,0,147,أبو محمود,10/5/2025,42
0,2,557.2,2170000,0,2170000,0,310,شمال هيا,10/5/2025,52
0,0,0,55846000,0,55846000,0,7978,أوجرين,11/5/2025,43
0,0,0,52514000,0,52514000,0,7502,المطار,11/5/2025,48
0,0,0,9191000,0,9191000,0,1313,قبايديب,11/5/2025,31
0,1,965.7,9709000,0,9709000,0,1387,وادي العشار,11/5/2025,8
0,2,3147,20405000,0,20405000,0,2915,الأنصاري,11/5/2025,46
0,13,2523,7056000,0,7056000,0,1008,الفرقة,11/5/2025,47
0,1,645.7,112000,0,112000,0,16,أوقييت,11/5/2025,44
0,4,1093.8,812000,0,812000,0,116,الياسمين,11/5/2025,29
0,1,138.2,13025000,0,13025000,0,1860.71,نوراي,11/5/2025,28
0,1,240.3,2597000,0,2597000,0,371,الهرابة,11/5/2025,50
0,4,2691.2,3297000,0,3297000,0,471,أوكليس,11/5/2025,45
0,0,0,1540000,0,1540000,0,220,الهدى,11/5/2025,49
0,0,0,826000,0,826000,0,118,أبو محمود,11/5/2025,42
0,5,2890.8,2135000,0,2135000,0,305,شمال هيا,11/5/2025,52
0,0,0,5600000,0,5600000,0,0,تحصيل مكتبي,11/5/2025,54
0,0,0,200000,0,0,0,0,غرابيل,11/5/2025,0
0,0,0,53018000,0,53018000,0,7574,أوجرين,12/5/2025,43
0,0,0,54425000,0,54425000,0,7775,المطار,12/5/2025,48
0,32,4632.3,8680000,0,8680000,0,1240,قبايديب,12/5/2025,31
0,1,492.4,11529000,0,11529000,0,1647,وادي العشار,12/5/2025,8
0,1,2925.3,21588000,0,21588000,0,3084,الأنصاري,12/5/2025,46
0,4,798.7,7679000,0,7679000,0,1097,الفرقة,12/5/2025,47
0,1,80.3,119000,0,119000,0,17,أوقييت,12/5/2025,44
0,6,4173.7,791000,0,791000,0,113,الياسمين,12/5/2025,29
0,1,150,10900000,0,10900000,0,1557.14,نوراي,12/5/2025,28
0,0,0,2023000,0,2023000,0,289,الهرابة,12/5/2025,50
0,1,906,2835000,0,2835000,0,405,أوكليس,12/5/2025,45
0,0,0,1659000,0,1659000,0,237,الهدى,12/5/2025,49
0,1,230.5,1141000,0,1141000,0,163,أبو محمود,12/5/2025,42
0,5,128.5,2205000,0,2205000,0,315,شمال هيا,12/5/2025,52
0,0,0,200000,0,0,0,0,غرابيل,12/5/2025,0
0,0,0,55986000,0,55986000,0,7998,أوجرين,13/5/2025,43
0,0,0,55734000,0,55734000,0,7962,المطار,13/5/2025,48
0,33,6360.4,10388000,0,10388000,0,1484,قبايديب,13/5/2025,31
0,1,143.2,12005000,0,12005000,0,1715,وادي العشار,13/5/2025,8
0,3,1046.6,23219000,0,23219000,0,3317,الأنصاري,13/5/2025,46
0,14,1281,7273000,0,7273000,0,1039,الفرقة,13/5/2025,47
0,1,45,105000,0,105000,0,15,أوقييت,13/5/2025,44
0,3,488.1,805000,0,805000,0,115,الياسمين,13/5/2025,29
0,2,1897.3,8800000,0,8800000,0,1257.14,نوراي,13/5/2025,28
0,4,545.6,2394000,0,2394000,0,342,الهرابة,13/5/2025,50
0,3,173.6,2590000,0,2590000,0,370,أوكليس,13/5/2025,45
0,0,0,1442000,0,1442000,0,206,الهدى,13/5/2025,49
0,0,0,644000,0,644000,0,92,أبو محمود,13/5/2025,42
0,3,1838.7,1995000,0,1995000,0,285,شمال هيا,13/5/2025,52
0,0,0,1400000,0,1400000,0,200,تحصيل مكتبي,13/5/2025,54
0,0,0,50000,0,0,0,0,غرابيل,13/5/2025,0
0,0,0,58170000,0,58170000,0,8310,أوجرين,14/5/2025,43
0,2,4178.5,57414000,0,57414000,0,8202,المطار,14/5/2025,48
0,30,4905.7,12229000,0,12229000,0,1747,قبايديب,14/5/2025,31
0,3,2102.8,10430000,0,10430000,0,1490,وادي العشار,14/5/2025,8
0,1,137.8,21161000,0,21161000,0,3023,الأنصاري,14/5/2025,46
0,14,4251.9,6538000,0,6538000,0,934,الفرقة,14/5/2025,47
0,2,3271.4,98000,0,98000,0,14,أوقييت,14/5/2025,44
0,5,2318.2,840000,0,840000,0,120,الياسمين,14/5/2025,29
0,1,3570.8,10000000,0,10000000,0,1425.57,نوراي,14/5/2025,28
0,3,591.8,2478000,0,2478000,0,354,الهرابة,14/5/2025,50
0,3,591.8,2310000,0,2310000,0,330,أوكليس,14/5/2025,45
0,0,1414.9,1302000,0,1302000,0,186,الهدى,14/5/2025,49
0,2,0,504000,0,504000,0,72,أبو محمود,14/5/2025,42
0,0,1224,0,0,0,0,0,جبال نمر,14/5/2025,51
0,3,618,2030000,0,2030000,0,290,شمال هيا,14/5/2025,52
0,0,0,2100000,0,2100000,0,300,تحصيل مكتبي,14/5/2025,54
0,0,0,58625000,0,58625000,0,8375,أوجرين,15/5/2025,43
0,2,198.7,59864000,0,59864000,0,8552,المطار,15/5/2025,48
0,32,5073.7,10017000,0,10017000,0,1431,قبايديب,15/5/2025,31
0,1,1026.7,11053000,0,11053000,0,1579,وادي العشار,15/5/2025,8
0,2,1184.2,24801000,0,24801000,0,3543,الأنصاري,15/5/2025,46
0,17,1714.5,7049000,0,7049000,0,1007,الفرقة,15/5/2025,47
0,1,410,98000,0,98000,0,14,أوقييت,15/5/2025,44
0,5,1707.9,756000,0,756000,0,108,الياسمين,15/5/2025,29
0,3,2207.8,12100000,0,12100000,0,1728.57,نوراي,15/5/2025,28
0,0,0,2797000,0,2797000,0,399.57,الهرابة,15/5/2025,50
0,1,494.7,2884000,0,2884000,0,412,أوكليس,15/5/2025,45
0,0,0,1533000,0,1533000,0,219,الهدى,15/5/2025,49
0,0,0,364000,0,364000,0,52,أبو محمود,15/5/2025,42
0,1,1261.5,2100000,0,2100000,0,300,شمال هيا,15/5/2025,52
0,0,0,1400000,0,1400000,0,200,تحصيل مكتبي,15/5/2025,54
