الدرجة,العلاوة,ابتدائي,غلاء معيشة,علاوة معادن,علاوة مخاطر,العلاوة الشخصية,,,,
12,4,7444.74000000,6382.61000000,24643.28000000,147859.70000000,6183.96000000,212563.94000000, -   ,,
15,4,5943.96000000,4731.51000000,24643.28000000,147859.70000000,0.00000000,198657.89000000,-12996.31,,
-2,5,35808.17000000,20190.22000000,158209.88000000,949259.28000000,0.00000000,1244665.21000000,-81426.7,214849.02,2578188.21
-3,5,34104.78000000,18083.39000000,131841.57000000,791049.40000000,0.00000000,1050751.97000000,-68740.78,,
1,5,29743.46000000,16103.13000000,118657.41000000,711944.46000000,0.00000000,942926.01000000,-61686.75,,17699568.52
2,5,25693.28000000,15151.23000000,105473.25000000,632839.52000000,0.00000000,838381.84000000,-10917.8,,
3,5,23304.32000000,13083.96000000,105473.25000000,632839.52000000,0.00000000,827464.04000000,-9729.12,,
4,5,20132.21000000,12285.00000000,105473.25000000,632839.52000000,0.00000000,817734.92000000,-8663.18,,
5,5,17389.90000000,11491.31000000,105473.25000000,632839.52000000,0.00000000,809071.75000000,-52929.93,,
7,5,15022.03000000,10708.17000000,52736.63000000,316419.76000000,0.00000000,432195.38000000,-7526.18,,
8,5,12975.85000000,9682.44000000,52736.63000000,316419.76000000,0.00000000,424669.20000000,-5478.28,,
9,5,11209.17000000,9213.09000000,52736.63000000,316419.76000000,0.00000000,419190.92000000,-27423.71,,
10,5,9682.44000000,8957.32000000,26368.31000000,158209.88000000,0.00000000,230245.61000000,-9419.03,,
12,5,7965.87000000,6829.39000000,26368.31000000,158209.88000000,0.00000000,220826.58000000,-8262.64,,
15,5,6360.04000000,5062.72000000,26368.31000000,158209.88000000,0.00000000,212563.94000000,-13906.05,,
