رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RN/122,أعمال علي محمد إبراهيم,02/02/2024,14049,نهر النيل,8
RN/123,شركة العبار للتنمية المحدودة,03/03/2024,47398.8,نهر النيل,4
RN/124,شركة أي كوم التجارية,03/03/2024,82899.7,نهر النيل,7
RN/125,شركة المنجز للإستيراد والتصدير,03/03/2024,56467.1,نهر النيل,5
RN/126,أعمال علي محمد إبراهيم,04/03/2024,39543.2,نهر النيل,8
RN/127,أعمال جسر الخليج للإستيراد والتصدير,05/03/2024,48688.5,نهر النيل,3
RN/128,شركة النيل والمشرق للإستثمار,05/03/2024,50964.4,نهر النيل,13
RN/129,شركة المنجز للإستيراد والتصدير,06/03/2024,29727,نهر النيل,5
RN/130,شركة المنجز للإستيراد والتصدير,06/03/2024,36011.4,نهر النيل,5
RN/131,شركة العبار للتنمية المحدودة,06/03/2024,40826.9,نهر النيل,4
RN/132,شركة المنجز للإستيراد والتصدير,07/03/2024,22587.9,نهر النيل,5
RN/133,شركة أولاد محي الدين,09/03/2024,52644.2,نهر النيل,1
RN/134,أعمال أي كوم  التجارية,09/03/2024,62927,نهر النيل,7
RN/135,شركة مأمور كومرا للأنشطة المتعددة,09/03/2024,70917.6,نهر النيل,10
RN/136,أعمال علي محمد إبراهيم,10/03/2024,40115,نهر النيل,8
RN/137,أعمال أي كوم التجارية,10/03/2024,70668.6,نهر النيل,7
RN/138,شركة أولاد محي الدين,10/03/2024,21607.2,نهر النيل,1
RN/139,أعمال جسر الخليج,10/03/2024,48420.9,نهر النيل,3
RN/140,شركة أي كوم التجارية,10/03/2024,16451.1,نهر النيل,7
RN/141,شركة العبار للتنمية المحدودة,11/03/2024,54521.1,نهر النيل,4
RN/142,شركة ملونيون للإستيراد والتصدير,12/03/2024,19987,نهر النيل,14
RN/143,أعمال جسر الخليج,12/03/2024,39045.1,نهر النيل,3
RN/144,أعمال أي كوم التجارية,12/03/2024,31666.9,نهر النيل,7
RN/145,شركة المنجز للإستيراد والتصدير,13/03/2024,23334.6,نهر النيل,5
RN/146,أعمال علي محمد إبراهيم,13/03/2024,53674.8,نهر النيل,8
RN/147,شركة أي كوم التجارية,14/03/2024,21845.4,نهر النيل,7
RN/148,شركة أي كوم التجارية,14/03/2024,74352.2,نهر النيل,7
RN/149,شركة أي كوم التجارية,14/03/2024,23072.2,نهر النيل,7
RN/150,شركة مأمور كومرا للأنشطة المتعددة,16/03/2024,40357,نهر النيل,10
RN/151,شركة أولاد محي الدين,17/03/2024,42453.6,نهر النيل,1
RN/152,شركة أولاد محي الدين,17/03/2024,10984.1,نهر النيل,1
RN/153,شركة أكون لايد للأنشطة المتعددة,18/03/2024,26492.7,نهر النيل,12
RN/154,أعمال جسر الخليج للإستيراد والتصدير,18/03/2024,11534.4,نهر النيل,3
RN/155,شركة الفيصلية المحدودة,18/03/2024,14078.1,نهر النيل,6
RN/156,أعمال جسر الخليج للإستيراد والتصدير,18/03/2024,41984.4,نهر النيل,3
RN/157,أعمال علي محمد إبراهيم التجارية,19/03/2024,25764.9,نهر النيل,8
RN/158,شركة شاركليز التجارية,20/03/2024,34200.3,نهر النيل,11
RN/159,شركة ملونيون للإستيراد والتصدير,21/03/2024,17349.2,نهر النيل,14
RN/160,شركة العبار للتنمية,21/03/2024,57377.1,نهر النيل,4
RN/161,أعمال جسر الخليج,24/03/2024,57685.6,نهر النيل,3
RN/162,أعمال علي محمد إبراهيم التجارية,25/03/2024,12404.9,نهر النيل,8
RN/163,الشركة الفيصلية,26/03/2024,10563.3,نهر النيل,6
RN/164,أعمال جسر الخليج,30/03/2024,20379,نهر النيل,3
RN/165,شركة العبار للتنمية المحدودة,01/04/2024,46010.1,نهر النيل,4
RN/166,أعمال جسر الخليج,02/04/2024,33373.1,نهر النيل,3
RN/167,شركة علقم للأنشطة المتعددة,03/04/2024,80818,نهر النيل,9
RN/168,شركة النيل والمشرق,03/04/2024,17419,نهر النيل,13
RN/169,شركة المنجز للإستيراد والتصدير,14/04/2024,48039.2,نهر النيل,5
RN/170,أعمال جسر الخليج,14/04/2024,54716.6,نهر النيل,3
RN/171,شركة أكون لايت,14/04/2024,49308.3,نهر النيل,12
RN/172,شركة مأمور كومرا,15/04/2024,37522.8,نهر النيل,10
RN/173,أعمال جسر الخليج,15/04/2024,54730,نهر النيل,3
RN/174,أعمال جسر الخليج,16/04/2024,19730.8,نهر النيل,3
RN/175,شركة العبار للتنمية,16/04/2024,15259.9,نهر النيل,4
RN/176,شركة النيل والمشرق,17/04/2024,25958.9,نهر النيل,13
RN/177,شركة المنجز للإستيراد والتصدير,17/04/2024,28842.9,نهر النيل,5
RN/178,شركة المنجز للإستيراد والتصدير,17/04/2024,28160.8,نهر النيل,5
RN/179,شركة المنجز للإستيراد والتصدير,17/04/2024,15055.6,نهر النيل,5
RN/180,شركة المنجز للإستيراد والتصدير,20/04/2024,44482.1,نهر النيل,5
