رقم الإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز,,
KS/95,شركة الكتلة الذهبية,26/06/2024,4596.4,كسلا,32,,
KS/96,شركة المنجز للإستيراد والتصدير,26/06/2024,20350.3,كسلا,5,,
KS/97,شركة جلجال للحلول المتكاملة,26/06/2024,14676.8,كسلا,22,,
KS/98,شركة الأفق الذهبية التجارية,27/06/2024,15293.4,كسلا,33,,
KS/99,أعمال علي محمد إبراهيم التوم التجارية,30/06/2024,11197.6,كسلا,8,,
KS/100,شركة جلجال حلول المتكاملة,01/07/2024,38885,كسلا,22,,
KS/101,الشركة الفيصلية المحدودة,08/07/2024,12159.7,كسلا,6,,
KS/102,أعمال تالين قولد للإستيراد والتصدير,08/07/2024,11741.9,كسلا,26,,
KS/103,أعمال علي محمد إبراهيم  التجارية,08/07/2024,8242.3,كسلا,8,,
KS/104,شركة حسبو أخوان,09/07/2024,2674.4,كسلا,36,,
KS/105,شركة المنجز للإستيراد والتصدير,10/07/2024,17121,كسلا,5,,
KS/106,شركة أي كوم التجارية,10/07/2024,40613.1,كسلا,7,,
KS/107,شركة أبويزن للأنشطة المتعددة,10/07/2024,11110.6,كسلا,34,,
KS/108,شركة تيتان العالمية المحدودة,13/07/2024,5270.2,كسلا,28,,
KS/109,شركة الرميزان للإستيراد والتصدير,14/07/2024,12423.3,كسلا,17,,
KS/110,شركة المنجز للإستيراد والتصدير,14/07/2024,13018.5,كسلا,5,,
KS/111,شركة أبويزن للأنشطة المتعددة,15/07/2024,2052.6,كسلا,34,,
KS/112,شركة جلجال للحلول المتكاملة,16/07/2024,39450.8,كسلا,22,,
KS/113,الشركة الفيصلية المحدودة,17/07/2024,10107.4,كسلا,6,,
KS/114,الشركة الفيصلية المحدودة,18/07/2024,18205.3,كسلا,6,,
KS/115,شركة وادي السبائك,20/07/2024,8676.9,كسلا,35,,
KS/116,شركة تالين قولد,24/07/2024,10162.6,كسلا,26,,
KS/117,أعمال مصري ضي النور,24/07/2024,12022.7,كسلا,55,,
KS/118,شركة كونتننتال للبترول,27/07/2024,4888.6,كسلا,52,,
KS/119,شركة المنجز للإستيراد والتصدير,28/07/2024,7606.2,كسلا,5,,
KS/120,شركة المنجز للإستيراد والتصدير,04/08/2024,11862.6,كسلا,5,,
KS/121,شركة جلجال للحلول المتكاملة,06/08/2024,32624.4,كسلا,22,,
KS/122,شركة مأمور كومرا للأنشطة المتعددة,07/08/2024,10804.9,كسلا,10,,
KS/123,شركة كلين للانشطة المتعددة المحدودة,07/08/2024,1151.9,كسلا,65,,شركة كاي للأنشطة المتعددة
KS/124,شركة وادي السبائك للأنشطة المتعددة,11/08/2024,14482.9,كسلا,35,,
KS/125,شركة المنجز للإستيراد والتصدير,11/08/2024,18209.6,كسلا,5,,
KS/126,شركة جلجال للحلول المتكاملة,11/08/2024,18825.6,كسلا,22,,
KS/127,الشركة الفيصلية المحدودة,11/08/2024,6288.6,كسلا,6,,
KS/128,الشركة الفيصلية المحدودة,11/08/2024,3238.5,كسلا,6,,
KS/129,شركة المنجز للإستيراد والتصدير,15/08/2024,13751,كسلا,5,,
KS/130,شركة وادي السبائك للأنشطة المتعددة,15/08/2024,7550,كسلا,35,,
KS/131,أعمال علي محمد إبراهيم,15/08/2024,9618.5,كسلا,8,,
KS/132,أعمال أي كوم التجارية,18/08/2024,20270.7,كسلا,7,,
KS/133,أعمال علي محمد إبراهيم,20/08/2024,10802.6,كسلا,8,,
KS/134,أعمال تالين قولد للإستيراد والتصدير,20/08/2024,5508.5,كسلا,26,,
KS/135,شركة وادي السبائك للأنشطة المتعددة,25/08/2024,10291,كسلا,35,,
KS/136,الكتلة الذهبية للتعدين المحدودة,26/08/2024,13090.7,كسلا,32,,
KS/137,الشركة الفيصلية المحدودة,26/08/2024,5518.4,كسلا,6,,
KS/138,أعمال علي محمد إبراهيم,28/08/2024,9808.2,كسلا,8,,
KS/139,شركة جلجال للحلول المتكاملة,28/08/2024,19931.1,كسلا,22,,
KS/140,الشركة الفيصلية المحدودة,28/08/2024,8626.1,كسلا,6,,
KS/141,شركة المنجز للإستيراد والتصدير,01/09/2024,17002.7,كسلا,5,,
KS/141,أعمال تالين قولد للإستيراد والتصدير,04/09/2024,8245,كسلا,26,,
KS/142,أعمال علي محمد إبراهيم التجارية,04/09/2024,7899.5,كسلا,8,,
KS/143,شركة المنجز للإستيراد والتصدير,07/09/2024,18726.1,كسلا,5,,
KS/144,شركة جلجال للحلول المتكاملة,07/09/2024,34169.1,كسلا,22,,
KS/145,شركة جلجال للحلول المتكاملة,08/09/2024,38110,كسلا,22,,
KS/146,أعمال بانوراما للإستيراد والتصدير,08/09/2024,19954,كسلا,24,,
KS/147,شركة أسفير للتعدين المحدودة,08/09/2024,5896.9,كسلا,44,,
KS/148,شركة أكون لايت للأنشطة المتعددة المحدودة,09/09/2024,15177.7,كسلا,12,,
KS/149,الشركة الفيصلية المحدودة,12/09/2024,12224.5,كسلا,6,,
KS/150,أعمال علي محمد إبراهيم التجارية,12/09/2024,12376.7,كسلا,8,,
