رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/91,شركة مأمور كومرا للأنشطة المتعددة,03/04/2024,52636,البحر الاحمر,10
RS/92,أعمال علي محمد إبراهيم,03/04/2024,13650.8,البحر الاحمر,8
RS/93,أعمال علي محمد إبراهيم,03/04/2024,6067.2,البحر الاحمر,8
RS/94,الشركة الفيصيلية المحدودة,18/04/2024,4491,البحر الاحمر,6
RS/95,شركة شاهقات العالمية للإستثمار,15/04/2024,10139.8,البحر الاحمر,27
RS/96,شركة مأمور كومرا للأنشطة المتعددة,15/04/2024,29124.8,البحر الاحمر,10
RS/97,شركة شاهقات العالمية للإستثمار,17/04/2024,2185,البحر الاحمر,27
RS/98,شركة العبار للتنمية المحدودة,17/04/2024,27650.4,البحر الاحمر,4
RS/99,شركة العبار للتنمية المحدودة,21/04/2024,29590.5,البحر الاحمر,4
RS/100,أعمال أي كوم التجارية,21/04/2024,11141.7,البحر الاحمر,7
RS/101,شركة مأمور كومرا للأنشطة المتعددة,22/04/2024,15612.2,البحر الاحمر,10
RS/102,شركة العبار للتنمية المحدودة,24/04/2024,36127.9,البحر الاحمر,4
RS/103,الشركة الفيصلية المحدودة,24/04/2024,5972.6,البحر الاحمر,6
RS/104,أعمال جسر الخليج,24/04/2024,6740.4,البحر الاحمر,3
RS/105,شركة مأموركومر للأنشطة المتعددة,28/04/2024,10625.3,البحر الاحمر,10
RS/106,أعمال الرميزان للإستيراد والتصدير,28/04/2024,2104.4,البحر الاحمر,17
RS/107,شركة شاهقات العالمية للإستثمار,30/04/2024,13999.4,البحر الاحمر,27
RS/108,أعمال الرميزان للإستيراد والتصدير,07/05/2024,1967,البحر الاحمر,17
RS/109,شركة العبار للتنمية المحدودة,09/05/2024,26307.2,البحر الاحمر,4
RS/110,أعمال التعدين المتقدمة,09/05/2024,31269,البحر الاحمر,15
RS/111,شركة مأمور كومرا للأنشطة المتعددة,09/05/2024,9066.2,البحر الاحمر,10
RS/112,شركة شاهقات العالمية للإستثمار,12/05/2024,15783.1,البحر الاحمر,27
RS/113,شركة أعمال التعدين المتقدمة,12/05/2024,4880.8,البحر الاحمر,15
