#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,متبقي رسوم عقد المخلفات,متبقي بونص توقيع عقد مخلفات,متبقي سداد الهيئة رسوم عقد المخلفات,متبقي سداد الهيئة بونص توقيع عقد مخلفات
118,اعمال المجموعة الدولية للتعدين -شاور,340,2021-05-14,2023-05-13,جنيه,10000000, -   , -   , -   
117,شركة كفاءة للانشطة المتعددة - القضارف,339,2019-07-20,2022-07-19,جنيه,12151437.07, -   , -   , -   
116,شركة البراح المحدودة,338,2019-04-16,2022-04-15,جنيه,50000000, -   , -   , -   
113,شركة السندي,335,2021-05-30,2024-05-29,جنيه,18000000, -   , -   , -   
110,شركة ياباسط,332,2019-08-02,2021-08-01,جنيه,66000000, -   , -   , -   
108,شركة عبقرينو الهندسية,330,2020-02-01,2023-01-01,جنيه,50000000, -   , -   , -   
106,زرياب للتنمية المحدودة (وديان للتعدين),328,2020-01-24,2023-01-23,جنيه,0.48, -   , -   , -   
103,شركة بترونيدز للخدمات العالمية المحدودة,325,2020-08-02,2023-07-02,جنيه,50000000, -   , -   , -   
100,شركة لانوس,322,2020-01-29,2023-08-09,جنيه,30833333.33, -   , -   , -   
99,وضاح صالح للتعدين,320,2022-12-29,2025-12-28,جنيه,5000000, -   , -   , -   
98,شيبا للتعدين و التنقيب -الشمالية,319,2021-08-04,2024-08-03,جنيه,35000000, -   , -   , -   
97,هايتند للانشطة المحدودة,318,2022-10-20,2025-10-19,جنيه,60000000, -   , -   , -   
96,ام ضرابة للإستثمار و النقل المحدودة,321,2022-08-25,2025-08-24,جنيه,60000000, -   , -   , -   
95,تونجل للتعدين المحدودة -سنابل القومية,317,2022-08-07,2025-08-06,جنيه,60000000, -   , -   , -   
94,فرك الكبرى للمعادن و التجارة و الإستثمار,316,2022-06-09,2025-06-08,جنيه,60000000, -   , -   , -   
93,لازارا للأعمال المتقدمة المحدودة,315,2022-06-25,2025-06-24,جنيه,60000000, -   , -   , -   
92,المؤسسة التعاونية ام أيه و شركة أم أيه جنرال سيرفس المحدودة,314,2021-09-02,2024-09-01,جنيه,55000000, -   , -   , -   
90,فري بورت للتعدين- البدري للطاقة,312,2021-08-15,2024-08-14,جنيه,60000000, -   , -   , -   
89,المنظور البعيد للأنشطة المتعددة المحدودة,311,2021-12-13,2024-12-12,جنيه,60000000, -   , -   , -   
86,أس ام تي للمشاريع المتطورة المحدودة,308,2021-06-03,2024-06-02,جنيه,40000000, -   , -   , -   
85,ثروة الإستشارية المحدودة,307,2022-06-21,2025-06-20,جنيه,70000000, -   , -   , -   
80,أعمال الناير للتعدين,302,2021-10-12,2024-10-11,جنيه,55000000, -   , -   , -   
78,الفطيم للأعمال المتقدمة المحدودة,300,2021-05-04,2024-05-03,جنيه,30000000, -   , -   , -   
76,الإعتماد للصناعات الحديدية المحدودة - (القعب),298,2019-11-26,2022-11-25,جنيه,30000000, -   , -   , -   
75,الأنفال للتعدين المحدودة,297,2020-02-11,2023-02-10,جنيه,70000000, -   , -   , -   
74,أعمال المجموعة الدولية للتعدين - صواردة,296,2020-02-03,2023-02-02,جنيه,50000000, -   , -   , -   
73,رويال للأعمال المتقدمة,295,2022-10-16,2024-10-15,جنيه,40000000, -   , -   , -   
72,الهصور للتعدين - (الخناق),294,2022-07-17,2025-07-16,جنيه,20000000, -   , -   , -   
69,الهصور للتعدين - (كدرمة),291,2022-07-17,2025-07-16,جنيه,20000000, -   , -   , -   
68,كالندر للتعدين,290,2018-01-10,2020-01-09,جنيه,5000000, -   , -   , -   
66,ساوى للأنشطة المتعددة المحدودة,288,2023-02-28,2026-02-27,جنيه,50000000, -   , -   , -   
63,الفدرالية للأعمال المتقدمة المحدودة,285,2022-04-05,2025-04-04,جنيه,60000000, -   , -   , -   
62,هاس ترانسبورت إل إل سي المحدودة,284,2022-04-21,2025-04-20,جنيه,70000000, -   , -   , -   
61,الزيداب العالمية المحدودة,283,2022-07-07,2025-07-06,جنيه,60000000, -   , -   , -   
60,شوبان للتعدين المحدودة,282,2022-07-07,2025-07-06,جنيه,60000000, -   , -   , -   
59,سلوفينا للتعدين المحدودة,281,2022-04-25,2025-04-24,جنيه,60000000, -   , -   , -   
58,هديل للتعدين و معالجة مخلفات التعدين,280,2020-08-20,2023-08-19,جنيه,80000000, -   , -   , -   
57,وجدي للتعدين,279,2021-05-04,2024-05-03,جنيه,60000000, -   , -   , -   
56,ازوم للأنشطة المتعددة المحدودة,278,2021-05-30,2024-05-29,جنيه,60000000, -   , -   , -   
55,نبرا للتعدين المحدودة,277,2021-05-23,2024-05-22,جنيه,60000000, -   , -   , -   
54,بتروفيلد للتعدين المحدودة,276,2021-06-20,2024-06-19,جنيه,60000000, -   , -   , -   
53,قولد نايل للتعدين,275,2021-09-19,2024-09-18,جنيه,60000000, -   , -   , -   
52,سكسيد أب للتجارة العامة المحدودة,274,2022-01-23,2025-01-22,جنيه,60000000, -   , -   , -   
51,شيبا للتعدين و التنقيب -نهر النيل,273,2023-01-08,2026-01-07,جنيه,90000000, -   , -   , -   
49,أعمال المجموعة الدولية للتعدين -بربر,271,2020-11-05,2023-11-04,جنيه,30000000, -   , -   , -   
48,سعود البرير للتعدين المحدودة,270,2024-11-14,2027-11-13,جنيه,40000000, -   , -   , -   
47,ابولميس للتعدين,269,2021-05-30,2024-05-29,جنيه,60000000, -   , -   , -   
46,وادي العشار للتعدين المحدودة,268,2021-05-26,2024-05-25,جنيه,60000000, -   , -   , -   
44,اتوبان للانشطة المتعددة المحدودة,266,2021-06-03,2024-06-02,جنيه,30000000, -   , -   , -   
39,سودامين المحدودة,261,2014-07-06,2015-07-05,جنيه,115000000, -   , -   , -   
38,ابورقية للتنمية المحدودة (ابوحمد),260,2021-06-27,2024-06-26,جنيه,40000000, -   , -   , -   
37,أعمال سآوى لمعالجة مخلفات التعدين التقليدي,259,2017-05-07,2019-05-06,جنيه,70000000, -   , -   , -   
34,تاناش لمعالجة مخلفات التعدين,256,2018-05-04,2020-05-03,جنيه,80000000, -   , -   , -   
32,مزن للتعدين المحدودة,254,2024-05-01,2027-04-30,جنيه,14000000, -   , -   , -   
31,ذكرى لمخلفات التعدين التقليدي,253,2018-04-22,2020-04-21,جنيه,50000000, -   , -   , -   
